City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,ilhabela,-23.7781,-45.3581,76.19,72,24,5.12,BR,1692296983
285,shahr-e babak,30.1165,55.1186,73.18,7,0,12.15,IR,1692296983
286,galesong,-5.3166,119.3661,73.42,74,25,5.97,ID,1692296984
287,iskateley,67.6803,53.1512,64.62,85,100,8.46,RU,1692296984
288,labrador city,52.9463,-66.9114,75.11,53,75,10.36,CA,1692296984
289,santa marta,11.2408,-74.199,91.45,70,20,5.75,CO,1692296984
290,san luis,-33.295,-66.3356,60.49,50,27,12.5,AR,1692296985
291,crixas,-14.5489,-49.9692,93.49,20,0,6.26,BR,1692296811
292,tidjikja,18.5564,-11.4271,96.19,34,49,11.83,MR,1692296985
293,ancud,-41.8697,-73.8203,46.71,63,66,13.65,CL,1692296986
294,northam,51.0333,-4.2167,71.62,74,97,15.66,GB,1692296986
295,daru,-9.0763,143.2092,75.43,74,88,12.35,PG,1692296986
296,al khums,32.6486,14.2619,79.65,65,0,10.07,LY,1692296986
297,trinidad,-14.8333,-64.9,93.18,43,20,9.22,BO,1692296987
298,sisimiut,66.9395,-53.6735,46.0,79,3,7.31,GL,1692296987
299,holualoa,19.6228,-155.9522,78.64,70,40,1.01,US,1692296962
300,el bagre,7.5927,-74.8086,92.41,50,96,4.27,CO,1692296988
301,longyearbyen,78.2186,15.6401,44.44,93,75,4.61,SJ,1692296988
302,melenki,55.3343,41.6295,70.25,74,14,5.12,RU,1692296989
303,kuragino,53.8975,92.6725,51.48,94,85,5.17,RU,1692296989
304,kokpekty,48.75,82.4,58.75,60,5,2.75,KZ,1692296989
305,augusta,48.3667,10.8833,70.5,88,40,3.44,DE,1692296991
306,vaasa,63.096,21.6158,63.05,77,0,4.0,FI,1692296991
307,selfoss,63.9331,-20.9971,58.05,83,100,4.43,IS,1692296991
308,fale old settlement,-9.3852,-171.2468,82.92,75,37,20.31,TK,1692296992
309,emerald,-23.5333,148.1667,64.26,49,1,15.88,AU,1692296992
310,susanville,40.4163,-120.653,84.81,37,0,8.01,US,1692296993
311,walvis bay,-22.9575,14.5053,56.08,62,29,17.78,NA,1692296993
312,atafu village,-8.5421,-172.5159,83.07,74,39,20.47,TK,1692296993
313,zarinsk,53.7074,84.9493,55.9,88,49,3.58,RU,1692296994
314,riviere-du-loup,47.8304,-69.5342,75.47,69,91,4.61,CA,1692296994
315,saint-pierre,-21.3393,55.4781,68.58,100,75,10.36,RE,1692296994
316,selkirk,50.1436,-96.8845,75.11,45,9,5.01,CA,1692296750
317,aasiaat,68.7098,-52.8699,38.52,71,4,9.15,GL,1692296995
318,road town,18.4167,-64.6167,91.49,66,20,14.97,VG,1692296726
319,aldinga beach,-35.2793,138.4604,53.42,77,61,20.2,AU,1692296995
320,broome,42.2506,-75.833,79.36,70,100,9.22,US,1692296996
321,alo,7.4178,6.7371,75.16,97,100,2.82,NG,1692296996
322,lihue,21.9789,-159.3672,81.99,76,40,13.8,US,1692296996
323,timbuktu,16.7735,-3.0074,96.98,34,98,8.16,ML,1692296997
324,hailun,47.45,126.9333,68.77,96,83,6.6,CN,1692296997
325,hadibu,12.65,54.0333,78.39,80,27,14.9,YE,1692296997
326,dunedin,-45.8742,170.5036,43.81,82,60,3.0,NZ,1692296968
327,mil'kovo,55.6078,37.7956,73.8,59,19,2.44,RU,1692296998
328,awjilah,29.1081,21.2869,88.74,26,0,11.88,LY,1692296999
329,sandnessjoen,66.0217,12.6316,55.92,66,75,6.91,NO,1692296999
330,mahina,-17.5065,-149.489,74.97,73,40,3.44,PF,1692296999
331,buala,-8.145,159.5921,78.39,87,64,6.62,SB,1692297000
332,praia da vitoria,38.7333,-27.0667,84.45,70,20,19.84,PT,1692297000
333,pisco,-13.7,-76.2167,71.65,64,100,20.71,PE,1692297001
334,takoradi,4.8845,-1.7554,74.86,94,100,8.9,GH,1692297002
335,manicore,-5.8092,-61.3003,91.35,58,75,4.61,BR,1692297004
336,charters towers,-20.1,146.2667,57.51,83,80,10.11,AU,1692297005
337,alofi,-19.0595,-169.9187,71.49,94,80,5.75,NU,1692297006
338,winnemucca,40.973,-117.7357,84.25,34,0,4.61,US,1692297007
339,muynoq,43.7683,59.0214,80.47,26,0,11.36,UZ,1692297008
340,usogorsk,63.4106,48.6872,64.67,74,20,5.79,RU,1692297008
341,tomatlan,19.9333,-105.25,92.97,54,99,4.83,MX,1692297009
342,kirando,-7.4167,30.6,78.06,49,5,1.97,TZ,1692297009
343,kabinda,-6.1333,24.4833,81.25,23,41,4.65,CD,1692297009
344,caxito,-8.5785,13.6643,70.0,80,11,5.59,AO,1692297010
345,takanosu,40.2219,140.3694,73.17,97,31,2.24,JP,1692297011
346,upington,-28.4478,21.2561,55.78,28,0,5.75,ZA,1692297011
347,mananjary,-21.2167,48.3333,67.84,79,100,2.98,MG,1692297012
348,pangody,65.85,74.4859,49.84,84,30,6.62,RU,1692296857
349,noumea,-22.2763,166.4572,64.99,99,49,7.78,NC,1692296755
350,altay,47.8667,88.1167,54.86,50,0,5.23,CN,1692297013
351,lerwick,60.1545,-1.1494,57.2,85,0,9.44,GB,1692297014
352,valparaiso,-33.0393,-71.6273,62.24,91,75,5.75,CL,1692297015
353,el granada,37.5027,-122.4694,85.57,75,0,9.22,US,1692297015
354,healesville,-37.65,145.5167,48.76,99,100,2.62,AU,1692297016
355,charkhari,25.4,79.75,79.9,82,94,11.36,IN,1692297016
356,dryden,49.7833,-92.7503,64.69,48,75,11.5,CA,1692297017
357,aioun,16.6614,-9.6149,93.45,40,94,6.17,MR,1692297018
358,acarau,-2.8856,-40.12,83.28,62,12,21.5,BR,1692297018
359,khandyga,62.6667,135.6,54.14,97,7,1.7,RU,1692297019
360,pointe-noire,-4.7761,11.8635,69.87,100,100,5.75,CG,1692297019
361,harar,9.3094,42.1258,65.21,59,34,7.85,ET,1692297020
362,pirae,-17.5167,-149.5333,75.22,73,40,3.44,PF,1692297020
363,fort mcmurray,56.7268,-111.381,76.59,50,0,11.5,CA,1692297021
364,banposh,22.25,84.8,77.68,94,100,5.59,IN,1692297022
365,remire-montjoly,4.9167,-52.2667,89.64,70,75,10.36,GF,1692297022
366,reggane,26.7158,0.1714,102.2,13,0,10.4,DZ,1692297023
367,carauari,-4.8828,-66.8958,94.57,39,91,1.12,BR,1692297023
368,saint-philippe,-21.3585,55.7679,67.59,88,87,12.21,RE,1692297024
369,lagoa,39.05,-27.9833,75.56,90,19,28.74,PT,1692297025
370,nuuk,64.1835,-51.7216,41.61,93,75,6.91,GL,1692297025
371,north bend,43.4065,-124.2243,72.27,82,100,9.22,US,1692297026
372,christchurch,-43.5333,172.6333,37.94,88,65,2.3,NZ,1692296864
373,okha,53.5739,142.9478,58.1,93,99,5.91,RU,1692297027
374,altamira,-3.2033,-52.2064,91.49,49,75,3.44,BR,1692297027
375,dazhong,33.1997,120.4578,73.78,89,0,3.15,CN,1692297027
376,thief river falls,48.1191,-96.1812,72.55,30,3,14.63,US,1692296774
377,bubaque,11.2833,-15.8333,80.44,76,100,11.9,GW,1692297028
378,novyy urengoy,66.0833,76.6333,47.95,65,59,7.76,RU,1692297029
379,gongchangling,41.1167,123.45,70.18,92,3,3.6,CN,1692297029
380,ende,-8.8432,121.6623,73.47,85,80,5.01,ID,1692297030
381,banlung,13.7468,107.0045,72.16,99,93,0.07,KH,1692297031
382,kununurra,-15.7667,128.7333,66.18,88,40,0.0,AU,1692297031
383,agat village,13.3886,144.6585,80.71,91,0,4.61,GU,1692297032
384,arraial do cabo,-22.9661,-42.0278,76.96,69,0,23.02,BR,1692297032
385,novodvinsk,64.4165,40.8122,60.01,97,100,3.09,RU,1692297033
386,vilyuchinsk,52.9306,158.4028,62.87,86,100,5.32,RU,1692297033
387,severo-yeniseyskiy,60.3725,93.0408,46.49,95,97,2.35,RU,1692297034
388,mildura,-34.2,142.15,45.07,90,9,18.34,AU,1692297034
389,itoman,26.1247,127.6694,81.37,96,20,4.61,JP,1692297034
390,yuzhno-kurilsk,44.0306,145.8556,68.16,98,98,15.28,RU,1692297035
